alloy,fold,setting,model,r2,mae,pearson_r,pearson_p,n_train,n_test,n_features,elapsed_s
AZ31,4,close_unfilt,RF,0.4465300270027083,48.97070484704185,0.7878562216185534,0.0004865114232389,899,15,2091.0,154.3
AZ31,4,exact,ChemProp,-0.8995898820187143,136.9702875773112,0.0462881513924919,0.8698831396046272,60,15,3.0,8.4
AZ31,4,exact,GBR,-0.1268140588924349,80.02690870128365,0.1979531071517004,0.4794395873231381,60,15,2051.0,3.9
AZ31,4,exact,kNN_Tan,-0.5697973724216194,103.94354892104596,0.2540972185208758,0.3607873885634159,60,15,2051.0,0.0
AZ31,4,exact,MLP,-0.9330746514303953,137.318839263916,0.183577354477712,0.5125240624559548,60,15,2051.0,17.0
AZ31,4,exact,RF,0.1667987097281418,65.17504000000001,0.4148553104402805,0.1241456968918055,60,15,2051.0,11.5
AZ31,4,far_filt,ChemProp,-0.3261073526639688,100.8678378423055,0.2252432007805297,0.4195890984424926,4720,15,48.0,641.5
AZ31,4,far_filt,GBR,-0.1141176006835158,86.4223736596763,0.0088806039280241,0.9749419189260669,4720,15,2096.0,1672.5
AZ31,4,far_filt,kNN_Tan,-1.7762467460035216,94.60780280268222,-0.113529808412817,0.6870511288005379,4720,15,2096.0,0.0
AZ31,4,far_filt,MLP,-0.0198727413477053,77.56204385757447,0.1655278637650211,0.5554851619268869,4720,15,2096.0,268.4
AZ31,4,far_filt,RF,0.2536918088919713,58.4671053015873,0.5318061341456517,0.0413110582377402,4720,15,2096.0,1362.5
AZ31,4,far_unfilt,ChemProp,0.1734196696484923,80.57494405110677,0.5582354562505587,0.0305637341146646,4854,15,48.0,661.1
AZ31,4,far_unfilt,GBR,0.4175680914590387,66.8602962059604,0.7639407499888268,0.000915146358656,4854,15,2096.0,756.2
AZ31,4,far_unfilt,kNN_Tan,0.7246716175506407,39.19456449992974,0.8673283108347456,2.820427684647876e-05,4854,15,2096.0,0.1
AZ31,4,far_unfilt,MLP,0.7596765007968276,37.57366474469503,0.9004054542074453,4.749771644184814e-06,4854,15,2096.0,1160.8
AZ31,4,far_unfilt,RF,0.4437979936374558,49.729596984126985,0.7754186326330602,0.0006820935049556,4854,15,2096.0,1477.1
AZ91,0,close_filt,ChemProp,-2.4411854889395257,115.38864736557008,-0.1784738957277635,0.5245146915663893,817,15,43.0,46.6
AZ91,0,close_filt,GBR,-1.005603377597342,104.98216337386204,-0.0605948683408397,0.8301423370036761,817,15,2091.0,95.1
AZ91,0,close_filt,kNN_Tan,-1.14075456623438,109.33047798803504,-0.1291253286885482,0.646490685765912,817,15,2091.0,0.0
AZ91,0,close_filt,MLP,-0.4865688615084509,94.4516990661621,-0.1256139434888708,0.6555475122513561,817,15,2091.0,167.6
AZ91,0,close_filt,RF,-0.7563641651117152,92.57414044444444,-0.0064696865927491,0.9817434791893868,817,15,2091.0,58.8
AZ91,0,close_unfilt,ChemProp,0.567936224409717,55.96669770876567,0.8182957155094075,0.0001923190223496,899,15,43.0,104.7
AZ91,0,close_unfilt,GBR,0.491488255731364,57.31568728276131,0.7241064603082631,0.0022690675530345,899,15,2091.0,100.1
AZ91,0,close_unfilt,kNN_Tan,-0.7042124103477387,98.50182618856466,0.8396311505267852,9.017958638849082e-05,899,15,2091.0,0.0
AZ91,0,close_unfilt,MLP,0.1068062859714431,70.75144386291504,0.7975125274713503,0.0003685239708116,899,15,2091.0,240.4
AZ91,0,close_unfilt,RF,0.3092643229694949,57.95952355555555,0.6463465879281804,0.0092263572213411,899,15,2091.0,156.3
AZ91,0,exact,ChemProp,-0.1397851820808975,84.36506754557291,-0.0772528019367761,0.7843532535572982,60,15,3.0,9.1
AZ91,0,exact,GBR,-0.8711812307505478,106.40135926555438,-0.0353679606968403,0.9004175767340409,60,15,2051.0,3.8
AZ91,0,exact,kNN_Tan,-0.6346799892184889,96.0091761076499,-0.0578807189301968,0.8376551701082927,60,15,2051.0,0.0
AZ91,0,exact,MLP,-0.508454119010153,96.14597969055175,-0.0668301878700598,0.812935402555819,60,15,2051.0,19.7
AZ91,0,exact,RF,-0.3685161057087758,80.67801333333334,0.0377335983518271,0.8937905001474195,60,15,2051.0,11.1
AZ91,0,far_filt,ChemProp,-1.215559057385638,111.07907161712646,0.0703477222706509,0.803262864674125,4746,15,48.0,641.9
AZ91,0,far_filt,GBR,-0.2490478708741064,79.42897574703248,-0.0100550726656414,0.971629119356594,4746,15,2096.0,1687.5
AZ91,0,far_filt,kNN_Tan,-0.5219524324623153,90.84763681994504,0.1053331089646203,0.7086991446231067,4746,15,2096.0,0.3
AZ91,0,far_filt,MLP,-0.4380737773683523,87.79794057210286,-0.1432257640706635,0.6105937579102577,4746,15,2096.0,248.7
AZ91,0,far_filt,RF,-0.6199891515857174,88.10789596931217,0.0006962808734603,0.9980350469444234,4746,15,2096.0,1413.4
AZ91,0,far_unfilt,ChemProp,0.4470987295472053,65.1439007282257,0.6940546634825955,0.0040984371607438,4854,15,48.0,656.1
AZ91,0,far_unfilt,GBR,0.4985462986881058,56.20837062794249,0.7223655930545763,0.0023527903540058,4854,15,2096.0,794.1
AZ91,0,far_unfilt,kNN_Tan,-0.5189051109526261,93.23377272472372,0.8010630012492033,0.0003315268708003,4854,15,2096.0,0.1
AZ91,0,far_unfilt,MLP,0.5542646440589574,55.13053380648295,0.8526835793062933,5.3683851917169405e-05,4854,15,2096.0,1207.2
AZ91,0,far_unfilt,RF,0.2966265515271012,59.25581887619048,0.6219914501955918,0.0132938950112196,4854,15,2096.0,1484.2
AZ91,1,close_filt,ChemProp,0.0038052370624923,105.7135357538859,0.4593066206687641,0.0850077303489074,791,15,43.0,58.5
AZ91,1,close_filt,GBR,-0.3006679026251482,121.70979106103545,0.1640867673340784,0.5589804668262823,791,15,2091.0,95.1
AZ91,1,close_filt,kNN_Tan,-0.4419542068748789,130.57346575199196,-0.1167348511736092,0.6786463527080014,791,15,2091.0,0.0
AZ91,1,close_filt,MLP,0.1174961989493377,108.51642430623372,0.4858769641316605,0.0663218596216092,791,15,2091.0,164.9
AZ91,1,close_filt,RF,-0.4221608609344267,133.6382571111111,0.0559664867014303,0.8429616877257985,791,15,2091.0,84.2
AZ91,1,close_unfilt,ChemProp,0.7112922028866017,73.98084398905436,0.8599606210964841,3.933891381759552e-05,899,15,43.0,105.9
AZ91,1,close_unfilt,GBR,0.596025333307437,81.95294484881926,0.8520469367918682,5.512100845572621e-05,899,15,2091.0,99.7
AZ91,1,close_unfilt,kNN_Tan,0.6465632836892998,70.39014423353044,0.8972916135912838,5.757349201806824e-06,899,15,2091.0,0.0
AZ91,1,close_unfilt,MLP,0.8336578806963711,47.629974428812666,0.9136145052212824,1.9462648116566782e-06,899,15,2091.0,243.6
AZ91,1,close_unfilt,RF,0.2650401821802184,102.81329088888889,0.8061410322036393,0.0002839370354252,899,15,2091.0,152.9
AZ91,1,exact,ChemProp,-0.0491555768545584,123.10419260660808,0.291904495381749,0.2911162125121454,60,15,3.0,8.4
AZ91,1,exact,GBR,-0.3075369824573006,135.29126639299804,0.1803426988875786,0.5201093122662364,60,15,2051.0,4.0
AZ91,1,exact,kNN_Tan,-0.2091665039837693,116.1781374758738,0.4206563244792001,0.1184445055174844,60,15,2051.0,0.0
AZ91,1,exact,MLP,0.0169629189255977,120.44704360961914,0.2391724354199154,0.3906104903157475,60,15,2051.0,24.9
AZ91,1,exact,RF,-0.4805209717456093,141.51197333333332,-0.0897826322135545,0.7503309035924488,60,15,2051.0,11.6
AZ91,1,far_filt,ChemProp,-0.0103920886215049,108.28219340642292,0.2953816935636524,0.2851402229420147,4696,15,48.0,654.2
AZ91,1,far_filt,GBR,-0.285295864379179,128.80795673438425,0.0648601531521499,0.8183636876909173,4696,15,2096.0,2070.1
AZ91,1,far_filt,kNN_Tan,-0.6033370245152863,145.33130072474876,0.0079218535836349,0.9776465301970466,4696,15,2096.0,0.0
AZ91,1,far_filt,MLP,-0.3425215393728733,133.16226485172908,0.2755039533056083,0.3202891006901393,4696,15,2096.0,278.6
AZ91,1,far_filt,RF,-0.4308645631424144,134.70405692063494,0.0522779339731932,0.85320438663769,4696,15,2096.0,1540.6
AZ91,1,far_unfilt,ChemProp,0.4866289461331379,94.42985645929971,0.7024639235030853,0.0034978970091327,4854,15,48.0,652.0
AZ91,1,far_unfilt,GBR,0.5310880591715356,92.025332405853,0.852511027450985,5.407027560474664e-05,4854,15,2096.0,2177.7
AZ91,1,far_unfilt,kNN_Tan,0.5833700367007149,80.82497315982776,0.8473347765287411,6.677859601326498e-05,4854,15,2096.0,0.0
AZ91,1,far_unfilt,MLP,0.7923324309831541,61.995637814203896,0.8959628211734303,6.238437308556031e-06,4854,15,2096.0,1150.4
